"code","description"
"R1","Use as a fuel (other than in direct incineration) or other means to generate energy"
"R2","Solvent reclamation/regeneration"
"R3","Recycling/reclamation of organic substances which are not used as solvents"
"R4","Recycling/reclamation of metals and metal compounds"
"R5","Recycling/reclamation of other inorganic materials"
"R6","Regeneration of acids or bases"
"R7","Recovery of components used for pollution abatement"
"R8","Recovery of components from catalysts"
"R9","Used oil re-refining or other reuses of previously used oil"
"R10","Land treatment resulting in benefit to agriculture or ecological improvement"
"R11","Uses of residual materials obtained from any of the operations numbered R1-R10"
"R12","Exchange of wastes for submission to any of the operations numbered R1-R11"
"R13","Accumulation of material intended for any operation in Section B"
